Name of Initiative,Organization Name,Location 1,State,Category,Unique ID,State Based
Maryland Total Cost of Care Model,"Kannan and Associates, PC","10301 Georgia Ave Ste 203 Silver Spring, MD (39.023894, -77.045526)",MD,State & Community-Based Models,67,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Odenton,"1106 Annapolis Rd Ste 310 Odenton, MD (39.079411, -76.685883)",MD,State & Community-Based Models,68,
Maryland Total Cost of Care Model,"Don Bousel, M.D.","2411 W Belvedere Ave Ste 201 Baltimore, MD (39.354315, -76.662552)",MD,State & Community-Based Models,69,
Maryland Total Cost of Care Model,"Advanced Medical Care, LLC","19703 Executive Park Cir Germantown, MD (39.180267, -77.274767)",MD,State & Community-Based Models,70,
Maryland Total Cost of Care Model,Family Healthcare of Elkton,"111 W High St Ste 214 Elkton, MD (39.609128, -75.831958)",MD,State & Community-Based Models,71,
Maryland Total Cost of Care Model,Comprehensive Primary Care - Rockville,"15825 Shady Grove Road #140 Rockville, MD (39.11643, -77.184207)",MD,State & Community-Based Models,72,
Maryland Total Cost of Care Model,Mian Family Medicine,"9114 Philadelphia Rd Rosedale, MD (39.347646, -76.472101)",MD,State & Community-Based Models,73,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Glen Burnie,"7671 Quarterfield Rd Ste 401 Glen Burnie, MD (39.150489, -76.636516)",MD,State & Community-Based Models,74,
Maryland Total Cost of Care Model,"Lifebridge Multi-Specialty, LLC","41 Magna Way Ste 100 Westminster, MD (39.606844, -76.992679)",MD,State & Community-Based Models,75,
Maryland Total Cost of Care Model,"Maryland Primary Care Physicians, LLC - Annapolis","129 Lubrano Drive Ste 100 Annapolis, MD (38.986712, -76.55204)",MD,State & Community-Based Models,76,
Maryland Total Cost of Care Model,Clinical Associates - Towson,"515 Fairmount Ave Ste 400 Towson, MD (39.401207, -76.596339)",MD,State & Community-Based Models,77,
Maryland Total Cost of Care Model,Comprehensive Women's Health,"10103 Georgia Ave Ste 307 Silver Spring, MD (39.022312, -77.04498)",MD,State & Community-Based Models,78,
Maryland Total Cost of Care Model,"Mitchell S. Gittelman, D.O, PA","31413 Winterplace Park Suite 103 Salisbury, MD (38.373791, -75.524414)",MD,State & Community-Based Models,79,
Maryland Total Cost of Care Model,Stone Run Family Medicine,"101 Colonial Way Ste A Rising Sun, MD (39.694671, -76.055821)",MD,State & Community-Based Models,80,
Maryland Total Cost of Care Model,Potomac Physician Associates - Bethesda,"10215 Fernwood Rd Ste 100 Bethesda, MD (39.023485, -77.135307)",MD,State & Community-Based Models,81,
Maryland Total Cost of Care Model,"Nalin Mathur, M.D., PA","11855 Holly Ln Ste 107 Waldorf, MD (38.632117, -76.903349)",MD,State & Community-Based Models,82,
Maryland Total Cost of Care Model,Adventist Medical Group College Park - Primary Care,"7305 Baltimore Ave Ste 107 College Park, MD (38.97895, -76.93784)",MD,State & Community-Based Models,83,
Maryland Total Cost of Care Model,Poolesville Family Practice,"19710 Fisher Ave Ste J Poolesville, MD (39.144824, -77.412219)",MD,State & Community-Based Models,84,
Maryland Total Cost of Care Model,"Drs. Shanahan and Ferguson, PC","120 Speer Rd Bldg B Chestertown, MD (39.219866, -76.077166)",MD,State & Community-Based Models,85,
Maryland Total Cost of Care Model,"Sibte A. Kazmi M.D., LLC","814 Toll House Ave Frederick, MD (39.426196, -77.414074)",MD,State & Community-Based Models,86,
